"","chapter_number","min","mean","median","max","nchar","sentence_length","colon","quote_start","quote_end","excitement","question_mark","comma","period","newline","space"
"1",1,2,26.8754578754579,22,100,7610,273,69,56,55,37,28,590,208,40,1
"2",2,4,27.3148148148148,24,120,6116,216,60,44,44,22,18,450,176,25,1
"3",3,4,26.4,22,131,8631,315,95,85,85,43,23,602,249,26,1
"4",4,4,30.9162303664921,28,105,6096,191,44,36,36,16,18,467,157,22,1
"5",5,1,22.7781155015198,20,93,7823,329,79,57,57,48,33,539,248,80,1
"6",6,4,24.6575342465753,22,78,7492,292,89,85,85,31,26,500,235,28,1
"7",7,4,24.3728813559322,22,75,7485,295,110,109,108,41,53,468,201,27,1
"8",8,5,23.6007326007326,20,99,6716,273,106,103,102,42,37,425,194,29,4
"9",9,5,25.2798165137615,21,78,5729,218,56,60,60,28,27,393,163,16,1
"10",10,3,24.3349753694581,21,78,5143,203,46,38,38,10,18,330,175,17,1
"11",11,4,26.2201834862385,24,98,5934,218,96,95,95,16,21,337,181,24,1
"12",12,4,24.4556213017751,21,106,4302,169,55,61,61,20,13,328,136,15,1
"13",13,5,26.951871657754,22,116,5227,187,56,52,52,9,14,351,164,22,3
"14",14,4,28.2538860103627,26,119,5646,193,52,50,52,11,12,409,170,24,1
"15",15,4,26.6,23,94,5106,185,58,56,56,11,14,362,160,19,1
"16",16,2,26.2831541218638,23,84,7612,279,80,82,82,19,34,494,226,26,1
"17",17,4,22.7087087087087,19,79,7895,333,149,144,144,38,31,556,264,39,1
"18",18,5,25.063829787234,22,119,8575,329,73,109,108,22,20,570,287,42,12
"19",19,2,22.175,19,117,9270,400,165,155,152,38,61,607,301,35,1
"20",20,4,22.6814159292035,20,72,5352,226,79,88,89,34,31,365,161,16,1
"21",21,4,23.8775510204082,20,77,6095,245,107,108,108,34,36,421,175,23,1
"22",22,3,20.9846153846154,18,83,7145,325,102,91,93,20,38,476,267,46,1
"23",23,2,26.984693877551,23,104,5485,196,62,64,66,8,14,388,174,25,1
"24",24,3,25.4281345565749,23,90,8642,327,106,112,112,16,36,582,275,31,1
"25",25,3,26.5134228187919,23,111,8199,298,101,101,101,35,34,539,229,31,1
"26",26,4,23.58,21,100,7374,300,126,131,131,24,61,476,215,34,1
"27",27,4,22.8097014925373,19,72,6381,268,100,86,86,33,42,412,193,21,1
"28",28,1,22.4927536231884,20,85,9726,414,201,190,189,55,53,627,306,73,1
"29",29,3,26.5619047619048,21,209,8682,315,105,123,123,33,25,577,257,26,1
"30",30,3,24.2380952380952,21,75,5830,231,79,90,90,27,24,396,180,15,1
"31",31,2,21.9430379746835,19,118,7250,316,139,145,147,35,66,467,215,10,1
"32",32,4,23.2139917695473,21,66,5884,243,96,100,100,27,36,381,180,11,1
"33",33,3,26.1277777777778,24,122,4883,180,52,65,65,43,19,354,118,10,1
"34",34,4,27.875,22,136,7392,256,97,99,101,28,33,522,195,18,7
"35",35,1,24.3873015873016,21,90,7997,315,144,152,152,27,40,486,248,16,1
"36",36,3,26.375,23,129,6789,248,84,91,92,17,35,455,196,13,1
"37",37,3,22.3232323232323,20,232,9236,396,166,162,163,17,34,572,345,32,7
"38",38,5,22.6610878661088,20,76,5655,239,83,98,85,13,15,327,211,28,27
"39",39,4,22.3851851851852,20,70,6314,270,110,112,113,14,27,373,229,10,1
"40",40,4,21.7764423076923,18,133,9475,416,199,209,206,17,16,499,383,17,2
"41",41,1,24.2,21,108,6552,260,90,95,95,9,20,398,231,17,1
"42",42,4,26.2135231316726,22,155,7647,281,102,106,106,11,21,542,249,19,1
"43",43,4,22.7420494699647,20,82,6719,283,114,116,115,15,36,454,232,19,1
"44",44,4,24.5037593984962,21,103,6784,266,90,94,94,32,22,463,212,20,1
"45",45,4,24.3721682847896,21,104,7840,309,97,91,90,23,45,562,241,24,1
"46",46,3,24.7253086419753,21,112,8335,324,104,104,104,43,50,622,231,23,1
"47",47,4,23.5249169435216,20,94,7382,301,113,120,120,33,35,539,233,20,1
"48",48,1,25.2558139534884,22,91,6774,258,89,80,80,21,22,504,215,23,1
"49",49,4,26.0289855072464,22,95,7460,276,96,102,102,19,22,493,235,27,1
"50",50,4,22.5645161290323,19,88,7305,310,181,139,138,20,31,445,259,105,4
"51",51,5,24.3249097472924,22,108,7015,277,107,106,106,26,28,445,223,32,11
"52",52,3,23.7205882352941,20,127,8405,340,136,138,138,38,34,580,268,25,1
"53",53,5,30.0674157303371,24,291,8295,267,67,82,81,11,18,607,238,31,1
"54",54,4,24.4045584045584,21,125,8917,351,149,152,152,19,37,571,295,26,1
"55",55,4,24.5155279503106,21,89,8216,322,90,89,89,24,42,548,256,23,1
"56",56,2,26.045871559633,23,86,8844,327,130,124,124,17,49,600,261,21,1
"57",57,3,23.7347826086957,21,106,11378,460,175,177,176,41,79,765,340,33,1
"58",58,4,25.625468164794,21,152,7109,267,74,72,72,36,30,527,201,22,1
"59",59,4,26.1170212765957,22,94,5098,188,67,63,63,21,33,352,134,20,1
"60",60,3,22.6552795031056,20,79,7617,322,101,99,98,40,48,526,234,28,1
"61",61,4,24.1541353383459,21.5,86,6691,266,72,71,70,27,38,466,201,18,1
"62",62,4,23.6041237113402,21,99,11933,485,178,195,195,6,24,774,455,42,1
"63",63,1,23.6263498920086,20,99,11402,463,187,200,202,27,34,771,402,49,1
"64",64,4,26.2684931506849,23,110,9953,365,86,86,86,13,21,694,331,43,1
"65",65,4,24.8814814814815,22,85,6988,270,66,70,68,24,19,526,227,20,1
"66",66,4,23.4976303317536,22,61,5169,211,64,64,66,15,25,413,171,16,1
"67",67,0,27.938679245283,23,139,12270,424,149,145,146,38,87,834,299,28,1
"68",68,5,23.9372937293729,21,88,7556,303,58,61,61,18,30,564,255,21,1
"69",69,4,23.6993243243243,21,76,7311,296,71,76,76,20,22,569,254,24,1
